dataset_name,downloads,likes,tags,success
RoboCOIN/AgiBot-g1_right_capture_part,30,0,[],True
RoboCOIN/AgiBot-g1_box_storage_cardboard_box_a,29,0,[],True
RoboCOIN/alpha_bot_2_press_the_button_a,24,0,[],True
RoboCOIN/Cobot_Magic_fold_clothes,22,0,[],True
RoboCOIN/Cobot_Magic_classification_of_tableware,22,0,[],True
RoboCOIN/AgiBot-g1_picks_up_battery_b,21,0,[],True
RoboCOIN/Cobot_Magic_clean_blackboard,21,0,[],True
RoboCOIN/R1_Lite_move_the_position_of_the_pen,21,0,[],True
RoboCOIN/leju_robot_hotel_services_c,20,0,[],True
RoboCOIN/Cobot_Magic_water_bottle_storage,20,0,[],True
RoboCOIN/R1_Lite_move_the_position_of_the_orange,20,0,[],True
RoboCOIN/Cobot_Magic_pushing_magnet,20,0,[],True
RoboCOIN/AIRBOT_MMK2_place_the_shark_toys_and_gold_bars,19,0,[],True
RoboCOIN/AIRBOT_MMK2_storage_item,18,0,[],True
RoboCOIN/RMC-AIDA-L_pour_coffee_beans,18,0,[],True
RoboCOIN/RMC-AIDA-L_basket_storage_orange,18,0,[],True
RoboCOIN/R1_Lite_move_the_position_of_the_rubiks_cube,18,0,[],True
RoboCOIN/AIRBOT_MMK2_place_the_blue_and_purple_blocks,18,0,[],True
RoboCOIN/R1_Lite_move_the_position_of_the_milk,18,0,[],True
RoboCOIN/R1_Lite_move_the_position_of_the_long_bread,17,0,[],True
RoboCOIN/R1_Lite_move_the_position_of_the_duck,17,0,[],True
RoboCOIN/R1_Lite_move_the_position_of_the_glass,17,0,[],True
RoboCOIN/Cobot_Magic_twist_bottle_cap,17,0,[],True
RoboCOIN/AIRBOT_MMK2_mobile_phone_storage,17,0,[],True
RoboCOIN/RMC-AIDA-L_place_the_fruits_repeatedly,17,0,[],True
RoboCOIN/AIRBOT_MMK2_pumpkin_storage,17,0,[],True
RoboCOIN/AIRBOT_MMK2_close_the_computer,17,0,[],True
RoboCOIN/AIRBOT_MMK2_lemon_and_orange_storage,16,0,[],True
RoboCOIN/Cobot_Magic_place_square_pyramid,16,0,[],True
RoboCOIN/Cobot_Magic_move_beverage,16,0,[],True
RoboCOIN/RMC-AIDA-L_food_storage,16,0,[],True
RoboCOIN/AgiBot-g1_box_storage_cardboard_box_c,16,0,[],True
RoboCOIN/RMC-AIDA-L_food_packaging,16,0,[],True
RoboCOIN/R1_Lite_storage_of_toiletries,16,0,[],True
RoboCOIN/Cobot_Magic_move_the_cup,16,0,[],True
RoboCOIN/R1_Lite_washing_board,16,0,[],True
RoboCOIN/AgiBot-g1_box_storage_c,16,0,[],True
RoboCOIN/AgiBot-g1_left_capture_part,16,0,[],True
RoboCOIN/Cobot_Magic_move_the_ball_interference,16,0,[],True
RoboCOIN/Cobot_Magic_move_the_ball,16,0,[],True
RoboCOIN/R1_Lite_move_the_position_of_the_peeler,16,0,[],True
RoboCOIN/Split_aloha_wipe_table,16,0,[],True
RoboCOIN/AgiBot-g1_picks_up_battery_a,15,0,[],True
RoboCOIN/RMC-AIDA-L_stir_coffee,15,0,[],True
RoboCOIN/Cobot_Magic_cube_reset,15,0,[],True
RoboCOIN/R1_Lite_hang_clothes,15,0,[],True
RoboCOIN/R1_Lite_move_the_position_of_the_black_marker,15,0,[],True
RoboCOIN/R1_Lite_move_the_position_of_the_brush,15,0,[],True
RoboCOIN/R1_Lite_stack_baskets,15,0,[],True
RoboCOIN/R1_Lite_build_blocks,15,0,[],True
RoboCOIN/leju_robot_moving_parts_n,15,0,[],True
RoboCOIN/RMC-AIDA-L_glasses_storage,15,0,[],True
RoboCOIN/Cobot_Magic_move_the_bread,15,0,[],True
RoboCOIN/Cobot_Magic_turn_on_the_desk_lamp,15,0,[],True
RoboCOIN/Split_aloha_basket_storage_orange,15,0,[],True
RoboCOIN/R1_Lite_move_the_position_of_the_spoon,15,0,[],True
RoboCOIN/R1_Lite_peach_storage,15,0,[],True
RoboCOIN/RMC-AIDA-L_pour_tea,15,0,[],True
RoboCOIN/R1_Lite_wash_the_tableware,15,0,[],True
RoboCOIN/R1_Lite_tableware_arrangement,15,0,[],True
RoboCOIN/R1_Lite_tidy_up_toiletries,15,0,[],True
